c,y
17.0,0.6497797356828194
17.0,0.6510034263338229
17.0,0.6522271169848263
17.0,0.6534508076358297
17.0,0.6546744982868331
17.0,0.6558981889378366
17.0,0.65712187958884
17.0,0.6583455702398434
17.0,0.6595692608908469
17.0,0.6607929515418502
17.0,0.6620166421928537
17.0,0.6632403328438571
17.0,0.6644640234948606
17.0,0.665687714145864
17.0,0.6669114047968674
17.0,0.6681350954478709
17.0,0.6693587860988742
17.0,0.6705824767498777
17.0,0.6718061674008812
17.0,0.6730298580518845
17.0,0.674253548702888
17.0,0.6754772393538914
17.0,0.6767009300048948
17.0,0.6779246206558982
18.0,0.6791483113069017
